Department_Store,Branch,City,Brand,Status,Store_Type,Source_Name,WhatsApp_URL_1,WhatsApp_URL_2,Google_Maps_URL,Latitude,Longitude,Resolved_Place_Name
SOGO,Pondok Indah Mall,Jakarta,VIVI ZUBEDI,Active,Dept Store,SOGO PONDOK INDAH MALL 2 LT. 1,https://wa.me/6282122343063,https://wa.me/6288294064640,https://maps.app.goo.gl/Q2o1h2KRHRHZc2XF7,-6.2655879,106.7825256,SOGO PIM 2
SOGO,Tunjungan Plaza,Surabaya,VIVI ZUBEDI,Active,Dept Store,SOGO TUNJUNGAN PLAZA 4 LT. 1,https://wa.me/6285733028833,,https://maps.app.goo.gl/jekKARpptn5UXBfD6,-7.261231,112.739072,SOGO - Tunjungan Plaza 4
SOGO,Paris Van Java,Bandung,VIVI ZUBEDI,Active,Dept Store,SOGO PVJ BANDUNG,https://wa.me/6289652556123,,https://maps.app.goo.gl/XrJddo5asxs2e8Dy6,-6.8902467,107.5959666,SOGO • PVJ Mall
Central,Central,Jakarta,VIVI ZUBEDI,Active,Dept Store,CENTRAL GRAND INDONESIA (EAST MALL),https://wa.me/6289507899532,,https://maps.app.goo.gl/GeggVEe7qD8QZRnR9,-6.1953681,106.8204181,Grand Indonesia
Seibu,Seibu,Jakarta,VIVI ZUBEDI,Active,Dept Store,SEIBU GRAND INDONESIA,https://wa.me/6285779411102,,https://maps.app.goo.gl/hnt7qt9hSLLbaaGY6,-6.195462,106.8197925,Seibu Grand Indonesia
SOGO,GL,Jakarta,VIVI ZUBEDI,Active,Dept Store,GALLERY'S LAFAYETTE LT 2,https://wa.me/628979926194,,https://maps.app.goo.gl/b4yuVcAwG96GsmQD7,-6.2252329,106.8099256,Galeries Lafayette - Pacific Place
SOGO,Kota Kasablanka,Jakarta,VIVI ZUBEDI,Active,Dept Store,SOGO KOTA KASABLANKA LT. UG,https://wa.me/6287780743921,,https://maps.app.goo.gl/AP5KGVVwFFAunMoWA,-6.2229772,106.843111,SOGO Kota Kasablanka
SOGO,Plaza Senayan,Jakarta,VIVI ZUBEDI,Active,Dept Store,SOGO PLAZA SENAYAN LT. 4,https://wa.me/6281287338847,,https://maps.app.goo.gl/r2gVX7wPqvZvnvpV9,-6.2255782,106.7990351,Sogo Plaza Senayan
SOGO,Karawaci,Jakarta,VIVI ZUBEDI,Active,Dept Store,SOGO SUPERMALL KARAWACI,https://wa.me/6283879004218,,https://maps.app.goo.gl/RUxzovkgpceRZywW7,-6.2268116,106.6070233,Supermal Karawaci
SOGO,Pakuwon,Surabaya,VIVI ZUBEDI,Active,Dept Store,SOGO PAKUWON LT. GROUND,https://wa.me/6285704772158,,https://maps.app.goo.gl/b3bGaefo4wVbVuMCA,-7.2892488,112.6759364,SOGO - Pakuwon Mall
SOGO,Pondok Indah Mall,Jakarta,Brand No Brand,Active,Dept Store,SOGO PONDOK INDAH MALL 2 LT. 1,https://wa.me/6282122343063,https://wa.me/6288294064640,https://maps.app.goo.gl/Q2o1h2KRHRHZc2XF7,-6.2655879,106.7825256,SOGO PIM 2
SOGO,Tunjungan Plaza,Surabaya,Brand No Brand,Active,Dept Store,SOGO TUNJUNGAN PLAZA 4 LT. 1,https://wa.me/6285733028833,,https://maps.app.goo.gl/jekKARpptn5UXBfD6,-7.261231,112.739072,SOGO - Tunjungan Plaza 4
SOGO,Paris Van Java,Bandung,Brand No Brand,Active,Dept Store,SOGO PVJ BANDUNG,https://wa.me/6289652556123,,https://maps.app.goo.gl/XrJddo5asxs2e8Dy6,-6.8902467,107.5959666,SOGO • PVJ Mall
Central,Central,Jakarta,Brand No Brand,Active,Dept Store,CENTRAL GRAND INDONESIA (EAST MALL),https://wa.me/6289507899532,,https://maps.app.goo.gl/GeggVEe7qD8QZRnR9,-6.1953681,106.8204181,Grand Indonesia
Seibu,Seibu,Jakarta,Brand No Brand,Active,Dept Store,SEIBU GRAND INDONESIA,https://wa.me/6285779411102,,https://maps.app.goo.gl/hnt7qt9hSLLbaaGY6,-6.195462,106.8197925,Seibu Grand Indonesia
SOGO,Kota Kasablanka,Jakarta,Brand No Brand,Active,Dept Store,SOGO KOTA KASABLANKA LT. UG,https://wa.me/6287780743921,,https://maps.app.goo.gl/AP5KGVVwFFAunMoWA,-6.2229772,106.843111,SOGO Kota Kasablanka
SOGO,Plaza Senayan,Jakarta,Brand No Brand,Active,Dept Store,SOGO PLAZA SENAYAN LT. 4,https://wa.me/6281287338847,,https://maps.app.goo.gl/r2gVX7wPqvZvnvpV9,-6.2255782,106.7990351,Sogo Plaza Senayan
SOGO,Karawaci,Jakarta,Brand No Brand,Active,Dept Store,SOGO SUPERMALL KARAWACI,https://wa.me/6283879004218,,https://maps.app.goo.gl/RUxzovkgpceRZywW7,-6.2268116,106.6070233,Supermal Karawaci
SOGO,Pakuwon,Surabaya,Brand No Brand,Active,Dept Store,SOGO PAKUWON LT. GROUND,https://wa.me/6285704772158,,https://maps.app.goo.gl/b3bGaefo4wVbVuMCA,-7.2892488,112.6759364,SOGO - Pakuwon Mall
SOGO,Pondok Indah Mall,Jakarta,Mayyech,Active,Dept Store,SOGO PONDOK INDAH MALL 2 LT. 1,https://wa.me/6282122343063,https://wa.me/6288294064640,https://maps.app.goo.gl/Q2o1h2KRHRHZc2XF7,-6.2655879,106.7825256,SOGO PIM 2
SOGO,Tunjungan Plaza,Surabaya,Mayyech,Active,Dept Store,SOGO TUNJUNGAN PLAZA 4 LT. 1,https://wa.me/6285733028833,,https://maps.app.goo.gl/jekKARpptn5UXBfD6,-7.261231,112.739072,SOGO - Tunjungan Plaza 4
