Store_ID,Outlet,Branch,Province,City,Brand,Latitude,Longitude,Allowed_Radius_Meter,Status,Notes
ST-VZ-SOGO-PIM-JKT,Sogo,Pondok Indah Mall,DKI Jakarta,Jakarta Selatan,VIVI ZUBEDI,-6.2655879,106.7825256,500,Aktif,
ST-VZ-SOGO-TP-SBY,Sogo,Tunjungan Plaza,Jawa Timur,Kota Surabaya,VIVI ZUBEDI,-7.261231,112.739072,500,Aktif,
ST-VZ-SOGO-PVJ-BDG,Sogo,Paris Van Java,Jawa Barat,Kota Bandung,VIVI ZUBEDI,-6.8902467,107.5959666,500,Aktif,
ST-VZ-CTR-CTR-JKT,Central,Central,DKI Jakarta,Jakarta Pusat,VIVI ZUBEDI,-6.1953681,106.8204181,500,Aktif,
ST-VZ-SBU-SBU-JKT,Seibu,Seibu,DKI Jakarta,Jakarta Pusat,VIVI ZUBEDI,-6.195462,106.8197925,500,Aktif,
ST-VZ-SOGO-GL-JKT,Sogo,GL,DKI Jakarta,Jakarta Selatan,VIVI ZUBEDI,-6.2252329,106.8099256,500,Aktif,
ST-VZ-SOGO-KK-JKT,Sogo,Kota Kasablanka,DKI Jakarta,Jakarta Selatan,VIVI ZUBEDI,-6.2229772,106.843111,500,Aktif,
ST-VZ-SOGO-PS-JKT,Sogo,Plaza Senayan,DKI Jakarta,Jakarta Pusat,VIVI ZUBEDI,-6.2255782,106.7990351,500,Aktif,
ST-VZ-SOGO-KRW-JKT,Sogo,Karawaci,Banten,Kabupaten Tangerang,VIVI ZUBEDI,-6.2268116,106.6070233,500,Aktif,
ST-VZ-SOGO-PKW-SBY,Sogo,Pakuwon,Jawa Timur,Kota Surabaya,VIVI ZUBEDI,-7.2892488,112.6759364,500,Aktif,
ST-NB-SOGO-PIM-JKT,Sogo,Pondok Indah Mall,DKI Jakarta,Jakarta Selatan,Brand No Brand,-6.2655879,106.7825256,500,Aktif,
ST-NB-SOGO-TP-SBY,Sogo,Tunjungan Plaza,Jawa Timur,Kota Surabaya,Brand No Brand,-7.261231,112.739072,500,Aktif,
ST-NB-SOGO-PVJ-BDG,Sogo,Paris Van Java,Jawa Barat,Kota Bandung,Brand No Brand,-6.8902467,107.5959666,500,Aktif,
ST-NB-CTR-CTR-JKT,Central,Central,DKI Jakarta,Jakarta Pusat,Brand No Brand,-6.1953681,106.8204181,500,Aktif,
ST-NB-SBU-SBU-JKT,Seibu,Seibu,DKI Jakarta,Jakarta Pusat,Brand No Brand,-6.195462,106.8197925,500,Aktif,
ST-NB-SOGO-KK-JKT,Sogo,Kota Kasablanka,DKI Jakarta,Jakarta Selatan,Brand No Brand,-6.2229772,106.843111,500,Aktif,
ST-NB-SOGO-PS-JKT,Sogo,Plaza Senayan,DKI Jakarta,Jakarta Pusat,Brand No Brand,-6.2255782,106.7990351,500,Aktif,
ST-NB-SOGO-KRW-JKT,Sogo,Karawaci,Banten,Kabupaten Tangerang,Brand No Brand,-6.2268116,106.6070233,500,Aktif,
ST-NB-SOGO-PKW-SBY,Sogo,Pakuwon,Jawa Timur,Kota Surabaya,Brand No Brand,-7.2892488,112.6759364,500,Aktif,
ST-MY-SOGO-PIM-JKT,Sogo,Pondok Indah Mall,DKI Jakarta,Jakarta Selatan,Mayyech,-6.2655879,106.7825256,500,Aktif,
ST-MY-SOGO-TP-SBY,Sogo,Tunjungan Plaza,Jawa Timur,Kota Surabaya,Mayyech,-7.261231,112.739072,500,Aktif,
ST-MY-CTR-CTR-JKT,Central,Central,DKI Jakarta,Jakarta Pusat,Mayyech,-6.1953681,106.8204181,500,Aktif,
ST-MY-SBU-SBU-JKT,Seibu,Seibu,DKI Jakarta,Jakarta Pusat,Mayyech,-6.195462,106.8197925,500,Aktif,
ST-MY-SOGO-KK-JKT,Sogo,Kota Kasablanka,DKI Jakarta,Jakarta Selatan,Mayyech,-6.2229772,106.843111,500,Aktif,
ST-MY-SOGO-PKW-SBY,Sogo,Pakuwon,Jawa Timur,Kota Surabaya,Mayyech,-7.2892488,112.6759364,500,Aktif,
ST-VZ-PTR-ACH-BNA,Partner,Aceh,Aceh,Kota Banda Aceh,VIVI ZUBEDI,5.5232925,95.3638199,100,Aktif,
ST-VZ-PTR-BJB-BJB,Partner,Banjarbaru,Kalimantan Selatan,Kota Banjarbaru,VIVI ZUBEDI,-3.4393111,114.8490305,100,Aktif,
ST-VZ-PTR-BJM-BJM,Partner,Banjarmasin,Kalimantan Selatan,Kota Banjarmasin,VIVI ZUBEDI,-3.3228218,114.6029635,100,Aktif,
ST-VZ-PTR-BKT-BKT,Partner,Bukittinggi,Sumatera Barat,Kota Bukittinggi,VIVI ZUBEDI,-0.3033909,100.3691986,100,Aktif,
ST-VZ-PTR-JMB-JMB,Partner,Jambi,Jambi,Kota Jambi,VIVI ZUBEDI,-1.6164516,103.5869992,100,Aktif,
ST-VZ-PTR-LPG-BDL,Partner,Lampung,Lampung,Kota Bandar Lampung,VIVI ZUBEDI,-5.4206444,105.2525193,100,Aktif,
ST-VZ-PTR-MKS-MKS,Partner,Makassar,Sulawesi Selatan,Kota Makassar,VIVI ZUBEDI,-5.1583648,119.3945571,100,Aktif,
ST-VZ-PTR-MDN-MDN,Partner,Medan,Sumatera Utara,Kota Medan,VIVI ZUBEDI,3.582209,98.6715761,100,Aktif,
ST-VZ-PTR-PDG-PDG,Partner,Padang,Sumatera Barat,Kota Padang,VIVI ZUBEDI,-0.9342203,100.3542596,100,Aktif,
ST-VZ-PTR-PKU-PKU,Partner,Pekanbaru,Riau,Kota Pekanbaru,VIVI ZUBEDI,0.4760721,101.4263397,100,Aktif,
ST-VZ-PTR-SMD-SMD,Partner,Samarinda,Kalimantan Timur,Kota Samarinda,VIVI ZUBEDI,-0.4753879,117.1474867,100,Aktif,
ST-VZ-PTR-YGY-YGY,Partner,Yogyakarta,DI Yogyakarta,Kota Yogyakarta,VIVI ZUBEDI,-7.778489,110.3734733,100,Aktif,
